num_C,num_F,num_O,num_P,num_S,num_B,HOMO,LUMO,min_ESP,max_ESP,MPI,R,La,Lb,Lc,MW,TPSA,C,HBA,Binding energy
6,0,7,0,0,0,-0.14814,0.0968,-108.792408,-45.068234,3.55733863,4.03522,9.738,6.684,5.576,189.1,127,277,7,1
7,0,4,0,0,0,-0.04986,0.10801,-144.449091,-20.242092,3.83638725,3.59324,8.764,7.614,3.041,153.11,80.6,157,4,1
7,0,3,0,0,0,-0.04136,0.11388,-148.1886,-20.014978,3.78218566,4.02948,9.611,7.627,3.239,152.13,86.4,160,4,1
7,0,2,0,0,0,0.00328,0.09963,-154.20377,-41.200665,3.80668365,4.1738,10.174,6.905,3.184,136.13,52.2,119,2,1
6,0,3,0,0,0,-0.04455,0.12881,-137.948044,-38.477382,3.72197321,4.0631,9.862,6.023,5.256,129.13,57.2,112,3,1
4,0,3,0,0,0,-0.04081,0.11003,-123.080148,-60.641866,4.47553547,3.1324,7.64,7.102,2.9,97.05,57.2,150,3,0
4,0,4,0,0,0,-0.05944,0.15081,-140.761828,-44.679578,4.16743472,3.6326,8.848,5.911,5.272,117.08,66.4,101,4,1
5,0,3,0,1,0,-0.05307,0.11775,-133.982264,-33.42954,3.69221388,4.12132,9.582,6.323,4.996,147.17,82.5,116,4,1
10,0,4,0,0,0,-0.0597,0.0835,-141.032936,-25.67829,3.23950044,5.4243,13.196,6.89,5.493,195.19,58.6,179,4,1
5,0,4,0,0,0,-0.06308,0.146,-139.344989,-46.864775,3.96885048,3.72854,8.84,6.498,5.302,131.11,66.4,113,4,1
8,0,4,0,0,0,-0.06536,0.1066,-143.33011,-40.128143,3.67443825,4.39192,10.488,7.831,4.289,167.14,66.4,309,4,0
10,0,2,0,0,0,-0.03783,0.10803,-149.087541,-32.133804,3.17644078,5.24472,12.697,7.281,5.242,169.24,40.1,131,2,1
7,0,2,0,1,0,0.0123,0.12705,-116.706405,-47.769839,3.68745843,4.20086,6.719,9.895,4.162,155.2,59.3,122,3,1
12,0,2,0,0,0,-0.05781,0.06878,-139.239303,-38.273172,3.46946382,4.21972,9.983,9.523,5.345,185.2,40.1,207,2,1
9,0,3,0,0,0,-0.04132,0.11378,-120.626714,-37.179217,3.51537951,4.97986,12.12,6.981,5.03,165.17,49.4,148,3,1
7,0,4,0,0,0,-0.07623,0.01403,-135.39854,-37.526499,3.62832781,4.1533,10.13,7.898,3.04,166.11,86,193,4,1
9,0,2,0,0,0,-0.05333,0.06794,-144.283671,-32.141148,3.53684486,4.6453,11.31,7.001,2.401,147.15,40.1,149,2,1
6,0,3,0,1,0,-0.09119,0.08739,-124.801773,-39.928497,3.61602815,4.1656,10.009,6.689,5.195,191.61,65.6,197,3,1
8,0,3,0,0,0,-0.04023,0.1162,-121.045219,-39.237279,3.69336826,4.48622,10.813,6.917,4.168,151.14,49.4,136,3,1
8,0,3,0,0,0,-0.05628,0.11302,-143.21318,-32.307306,3.63604729,4.43456,10.724,6.673,4.557,151.14,49.4,131,3,1
10,0,2,0,0,0,-0.05099,0.09478,-143.671022,-35.865368,3.46084249,4.73468,11.435,7.247,5.064,163.19,40.1,131,2,0
10,0,3,0,0,0,-0.04943,0.07822,-117.17203,-40.370918,3.50057758,4.2025,9.916,7.95,4.16,175.16,49.4,257,3,0
7,0,3,0,1,0,-0.08137,0.09967,-129.412376,-36.627566,3.63666311,4.1082,9.654,6.685,5.01,171.2,65.6,193,3,1
10,0,3,0,0,0,-0.04101,0.11177,-120.712066,-30.276241,3.30151898,5.46858,13.308,7.23,4.165,179.19,49.4,160,3,1
7,0,2,0,2,0,-0.05625,0.09091,-125.234345,-34.945713,3.53385963,4.33042,10.264,6.652,6.196,187.3,80.6,212,3,1
7,0,4,0,0,0,-0.0601,0.06355,-110.758392,-46.370415,3.65952428,4.3091,10.004,7.577,4.693,168.13,78.1,167,4,1
2,0,0,0,1,0,0.0295,0.19234,-136.728005,-69.750346,4.71646497,2.79456,6.809,4.712,4.161,61.13,1,2.8,1,0
4,7,2,0,0,0,-0.08598,0.16193,-131.394787,-52.949594,3.97968094,3.72116,8.901,5.713,5.155,213.03,40.1,212,9,1
7,0,5,0,1,0,-0.08188,0.03493,-129.180616,-19.713262,3.1303527,4.99626,12.009,6.885,6.465,207.23,91.9,271,5,1
1,0,3,1,0,0,-0.06102,0.16295,-142.812089,-41.457161,4.62087417,2.61908,5.582,5.789,5.681,95.014,60.4,59,3,1
6,0,3,0,1,0,-0.08039,0.10349,-129.915482,-18.574347,3.73233924,3.90238,9.142,7.713,5.512,172.18,91.6,205,4,1
6,0,3,0,1,0,-0.07759,0.10338,-131.16851,-16.923706,3.71528097,4.07212,9.538,6.691,5.193,172.18,91.6,197,4,1
6,0,3,0,1,0,-0.09572,0.06595,-127.554212,-32.359879,3.42909844,4.928,10.049,8.975,5.799,297.09,65.6,231,3,0
5,0,4,0,0,0,-0.0993,0.0737,-126.148255,-26.656796,3.75189876,3.56946,8.534,7.384,3.221,155.09,98.3,262,4,0
3,0,1,0,2,0,-0.01979,0.13719,-133.777319,-44.444391,4.02489378,3.64244,5.96,8.774,4.168,121.21,42.3,47.2,3,0
4,7,2,0,0,0,-0.03556,0.17373,-149.818251,-62.381701,4.34763288,2.96594,6.994,6.162,5.408,87.1,40.1,51.1,2,1
1,0,0,0,2,0,-0.02401,0.12334,-135.017213,-77.075456,4.76556192,2.73552,6.673,4.797,3.6,77.15,33.1,7.5,2,0
2,1,2,0,0,0,-0.0459,0.20366,-146.9018,-71.217936,4.95718838,2.69452,6.485,5.391,4.18,77.03,40.1,37.4,3,1
5,0,2,0,0,0,-0.03913,0.15268,-148.893234,-53.376224,4.03827799,3.5137,8.469,5.954,5.365,102.12,40.1,61,2,1
6,0,0,0,0,0,0.02788,0.17687,-140.048563,-64.944713,4.42298962,3.01104,6.912,6.704,3.4,82.13,0,91.7,1,1
0,5,0,0,0,0,-0.20045,0.13332,-113.343563,-61.51172,4.44049443,2.85934,6.975,6.256,6.264,186.22,0,37.1,6,1
0,0,3,0,1,0,-0.07001,0.17818,-135.063024,-54.179739,4.87852274,2.49854,5.138,5.543,5.186,96.09,91.6,79.2,4,1
7,0,2,0,0,0,-0.04116,0.14083,-147.817292,-49.052375,3.80824823,3.63342,8.775,6.61,5.413,127.16,40.1,98,2,1
7,0,0,0,0,0,0.0489,0.144,-141.574542,-53.710672,4.11050536,3.40218,6.693,8.212,4.135,91.13,0,42,1,1
3,0,4,1,0,0,-0.07362,0.11694,-128.957055,-56.07676,4.08875154,3.61374,8.753,6.547,5.52,137.05,66.4,132,4,1
4,1,3,0,0,0,-0.07193,0.17234,-136.007418,-58.533781,4.21508296,3.09796,7.367,6.537,6.003,121.09,60.4,87.8,4,1
4,0,3,0,0,0,-0.06148,0.12889,-138.526033,-54.578017,4.25855702,3.29558,7.563,5.883,4.995,102.07,57.2,89.6,3,1
4,0,2,0,0,0,-0.03965,0.17165,-144.869393,-57.008574,4.17364091,3.21112,7.625,6.463,5.366,104.1,66.2,66.6,3,1
4,0,2,0,0,0,-0.06605,0.13503,-137.953632,-49.134941,3.99324543,3.43334,6.962,8.047,5.334,165.99,40.1,66.6,2,1
3,0,3,0,0,0,-0.04071,0.15794,-149.29293,-50.047505,4.40513041,3.40136,8.09,5.199,4.178,89.07,49.4,44.5,3,1
7,1,2,0,0,0,-0.05528,0.10574,-142.84935,-41.047839,3.96476604,3.65474,8.798,7.317,2.72,139.1,40.1,130,3,1
2,3,1,0,0,0,0.0032,0.22208,-148.412504,-89.118446,4.82740294,2.70518,6.451,4.877,5.11,100.04,23.1,38.5,4,0
